,mu,std
Evt_CSV_avg_tagged,0.83862835,0.105504654
Evt_CSV_avg,0.6051672,0.14162809
Evt_M_minDrLepTag,86.82115,43.061646
Evt_Pt_JetsAverage,94.25574,38.6358
Evt_Pt_minDrTaggedJets,182.5364,101.26794
Evt_Deta_TaggedJetsAverage,0.9289796,0.39490885
Evt_Deta_JetsAverage,1.0039166,0.3577761
N_Jets,5.994051290772619,1.3176898467951559
Reco_JABDT_ttbar_Jet_CSV_whaddau2,0.3103588,0.3427853
Reco_ttbar_toplep_m,206.96791,76.135864
Reco_tHq_bestJABDToutput,0.14083324,0.35272625
Reco_JABDT_tHq_abs_ljet_eta,1.2419989,1.2291063
Reco_JABDT_tHq_Jet_CSV_hdau1,0.62476,0.6720236
Reco_JABDT_tHW_Jet_CSV_btop,0.728207,0.6319795
memDBp,0.5353767471755088,0.4069179988558654
